"Taxon","Photo_path"
"Holcus lanatus","C3"
"Agrostis stolonifera","C3"
"Anthoxanthum odoratum","C3"
"Poa","C3"
"Holcus lanatus","C3"
"Lolium perenne","C3"
"Holcus lanatus","C3"
"Agrostis capillaris","C3"
"Agrostis capillaris","C3"
"Festuca ovina subvar. novae-zelandiae","C3"
"Chionochloa rubra","C3"
"Holcus lanatus","C3"
"Holcus lanatus","C3"
"Anthoxanthum odoratum","C3"
"Chionochloa rubra","C3"
"Bromus hordeaceus","C3"
"Agrostis capillaris","C3"
"Anthoxanthum odoratum","C3"
"Festuca ovina subvar. novae-zelandiae","C3"
"Holcus lanatus","C3"
"Anthoxanthum odoratum","C3"
"Anthoxanthum odoratum","C3"
"Agrostis capillaris","C3"
"Anthoxanthum odoratum","C3"
"Agrostis capillaris","C3"
"Holcus lanatus","C3"
"Festuca ovina subvar. novae-zelandiae","C3"
"Agrostis capillaris","C3"
"Poa","C3"
"Chionochloa rigida","C3"
"Poa colensoi","C3"
"Festuca rubra","C3"
"Anthoxanthum odoratum","C3"
"Agrostis","C3"
"Festuca ovina subvar. novae-zelandiae","C3"
"Chionochloa rigida","C3"
"Holcus lanatus","C3"
"Holcus lanatus","C3"
"Rytidosperma setifolium","C3"
"Dactylis glomerata","C3"
"Anthoxanthum odoratum","C3"
"Anthoxanthum odoratum","C3"
"Festuca ovina subvar. novae-zelandiae","C3"
"Chionochloa rubra","C3"
"Chionochloa rubra","C3"
"Agrostis capillaris","C3"
"Festuca ovina subvar. novae-zelandiae","C3"
"Anthoxanthum odoratum","C3"
"Holcus lanatus","C3"
"Elymus scabrus","C3"
"Festuca ovina subvar. novae-zelandiae","C3"
"Holcus lanatus","C3"
"Festuca ovina subvar. novae-zelandiae","C3"
"Chionochloa rubra","C3"
"Festuca ovina subvar. novae-zelandiae","C3"
"Holcus lanatus","C3"
"Stipa","C3"
"Agrostis capillaris","C3"
"Agrostis capillaris","C3"
"Agrostis capillaris","C3"
"Dactylis glomerata","C3"
"Phleum pratense","C3"
"Marram","C3"
"Unidentified species","C3"
"Festuca rubra","C3"
"Agrostis capillaris","C3"
"Agropyron","C3"
"Anthoxanthum odoratum","C3"
"Dactylis glomerata","C3"
"Festuca","C3"
"Anthoxanthum odoratum","C3"
"Agrostis capillaris","C3"
"Poa","C3"
"Stipa","C3"
"Chionochloa rubra","C3"
"Anthoxanthum odoratum","C3"
"Festuca","C3"
"Festuca filiformis","C3"
"Poa","C3"
"Festuca","C3"
"Festuca ovina subvar. novae-zelandiae","C3"
"Chionochloa rigida","C3"
"Festuca rubra","C3"
"Poa colensoi","C3"
"Poa colensoi","C3"
"Stipa","C3"
"Koeleria","C3"
"Agrostis capillaris","C3"
"Agrostis capillaris","C3"
"Agrostis capillaris","C3"
"Dactylis glomerata","C3"
"Hierochloe","C3"
"Poa cita","C3"
"Rostraria cristata","C3"
"Phleum pratense","C3"
"Anthoxanthum odoratum","C3"
"Chionochloa teretifolia","C3"
"Festuca","C3"
"Poa","C3"
"Koeleria","C3"
"Chionochloa rubra","C3"
"Festuca ovina subvar. novae-zelandiae","C3"
"Stipa","C3"
"Chionochloa rubra","C3"
"Chionochloa rigida","C3"
"Chionochloa rigida","C3"
"Anthoxanthum odoratum","C3"
"Poa","C3"
"Poa colensoi","C3"
"Stipa","C3"
"Anthoxanthum odoratum","C3"
"Poa colensoi","C3"
"Dactylis glomerata","C3"
"Bromus","C3"
"Anthoxanthum odoratum","C3"
"Phleum pratense","C3"
"Koeleria","C3"
"Dactylis glomerata","C3"
"Chionochloa rubra","C3"
"Poa colensoi","C3"
"Agrostis capillaris","C3"
"Hierochloe","C3"
"Poa cita","C3"
"Poa colensoi","C3"
"Stipa comata","C3"
"Festuca rubra","C3"
"Anthoxanthum odoratum","C3"
"Unidentified species","C3"
"Bromus","C3"
"Festuca rubra","C3"
"Chionochloa teretifolia","C3"
"Chionochloa crassiuscula","C3"
"Chionochloa rubra","C3"
"Chionochloa rigida","C3"
"Dactylis glomerata","C3"
"Festuca","C3"
"Poa colensoi","C3"
"Elymus","C3"
"Poa cita","C3"
"Poa","C3"
"Poa","C3"
"Themeda triandra","C4"
"Panicum","C4"
"Schizachyrium scoparium","C4"
"Bouteloua","C4"
"Perotis patens","C4"
"Eragrostis","C4"
"Panicum","C4"
"Triodia bitextura","C4"
"Andropogon","C4"
"Schizachyrium","C4"
"Eragrostis capensis","C4"
"Panicum virgatum","C4"
"Heteropogon contortus","C4"
"Panicum","C4"
"Eragrostis capensis","C4"
"Panicum","C4"
"Andropogon gerardii","C4"
"Aristida holathera","C4"
"Aristida inaequiglumis","C4"
"Andropogon","C4"
"Panicum decompositum","C4"
"Aristida holathera","C4"
"Aristida holathera","C4"
"Eragrostis cumingii","C4"
"Aristida holathera","C4"
"Alloteropsis semialata","C4"
"Eragrostis curvula","C4"
"Whiteochloa multiciliata","C4"
"Schizachyrium","C4"
"Sporobolus pyramidalis","C4"
"Sporobolus nitens","C4"
"Aristida inaequiglumis","C4"
"Eriachne ciliata","C4"
"Andropogon","C4"
"Andropogon","C4"
"Harpochloa falx","C4"
"Andropogon hallii","C4"
"Schizachyrium","C4"
"Eriachne aristidea","C4"
"Themeda triandra","C4"
"Sporobolus nitens","C4"
"Heteropogon triticeus","C4"
"Cynodon","C4"
"Unidentified species","C4"
"Eragrostis capensis","C4"
"Aristida edsenesionus","C4"
"Bewsia biflora","C4"
"Aristida","C4"
"Diheteropogon filifolius","C4"
"Chrysopogon latifolius","C4"
"Chrysopogon latifolius","C4"
"Schizachyrium crinizonatum","C4"
"Eragrostis curvula","C4"
"Eriachne obtusa","C4"
"Heteropogon contortus","C4"
"Themeda triandra","C4"
"Sorghum intrans","C4"
"Panicum coloratum","C4"
"Hyparrhenia filipendula","C4"
"Cymbopogon","C4"
"Loudetia simplex","C4"
"Eragrostis curvula","C4"
"Panicum deustum","C4"
"Chrysopogon benthamianus","C4"
"Digitaria bicornis","C4"
"Sehima nervosum","C4"
"Panicum coloratum","C4"
"Eragrostis superba","C4"
"Themeda triandra","C4"
"Chrysopogon benthamianus","C4"
"Urochloa mosambicensis","C4"
"Alloteropsis semialata","C4"
"Tristachya leucothrix","C4"
"Brachiaria pubigera","C4"
"Sorghum intrans","C4"
"Heteropogon contortus","C4"
"Sorghum plumosum","C4"
"Chrysopogon benthamianus","C4"
"Themeda triandra","C4"
"Alloteropsis semialata","C4"
"Dactyloctenium australe","C4"
"Sorghum intrans","C4"
"Chrysopogon benthamianus","C4"
"Alloteropsis semialata","C4"
"Brachiaria mutica","C4"
"Sorghum plumosum","C4"
"Heteropogon triticeus","C4"
"Heteropogon triticeus","C4"
"Hyparrhenia filipendula","C4"
"Themeda triandra","C4"
"Chrysopogon benthamianus","C4"
"Sehima nervosum","C4"
"Coelorachis rottboellioides","C4"
"Sorghum intrans","C4"
"Setaria nigrirostris","C4"
"Cymbopogon","C4"
"Elionurus muticus","C4"
"Alloteropsis semialata","C4"
"Alloteropsis semialata","C4"
"Sehima nervosum","C4"
"Alloteropsis semialata","C4"
"Tristachya leucothrix","C4"
"Heteropogon triticeus","C4"
"Bothriochloa insculpta","C4"
"Whiteochloa multiciliata","C4"
"Loudetia simplex","C4"
"Hyparrhenia","C4"
"Cymbopogon obtectus","C4"
"Eriachne ciliata","C4"
"Sorghum plumosum","C4"
"Cymbopogon","C4"
"Coelorachis rottboellioides","C4"
"Tristachya leucothrix","C4"
"Sehima nervosum","C4"
"Heteropogon triticeus","C4"
"Digitaria areantha","C4"
"Urochloa mosambicensis","C4"
"Bothriochloa insculpta","C4"
"Chrysopogon latifolius","C4"
"Eulalia aurea","C4"
"Heteropogon triticeus","C4"
"Chrysopogon benthamianus","C4"
"Sorghum plumosum","C4"
"Leptochloa fusca","C4"
"Themeda triandra","C4"
"Enneapogon polyphyllus","C4"
"Urochloa mosambicensis","C4"
"Sehima nervosum","C4"
"Bothriochloa insculpta","C4"
"Bothriochloa insculpta","C4"
"Sehima nervosum","C4"
"Cymbopogon","C4"
"Sorghum plumosum","C4"
"Sorghum plumosum","C4"
